041594904794	CIR K POLAR POP 42OZ FOA	8.91
041594899038	CIR K POLAR POP LARG	0.99
80	TB OPEN ONLINE LOTTO	9.00
028200003843	MARLB GOLD	8.47
79	MACHINE LOTTERY	16.00
860006114916	ICE BAG SBT RI 7LB	14.95
999991218931	XLG HOT CUP 24Z/EACH	2.29
028200003577	MARL KG BX	11.13
070847811169	MONSTER ENERGY	3.29
049000000443	URCHOICE DONUT	2.49
999999955678	HOT DOG / SSG PREMIUM	2.69
12345	LOTO VALIDEUSE	4.00
999991218948	Large Coffee (20	2.19
999999937551	Medium Polar Pop	0.89
012000001314	MTDEW 20Z	9.96
611269818994	RED BULL ENERGY DRIN	3.79
999991218955	COFFE MEDIUM	2.09
041594964330	CIR K FROSTER LARGE	4.83
026100005738	NEWPORT 100 BX	20.02
026100005752	NEWPORT MENTHOL	9.56
078000082401	CRV .05- less 24oz	0.05
611269991000	RED BULL ENERGY 8.4Z	5.58
42	MACHINE POWERBALL $2	4.00
028200004659	MARL GLD 100 BX	11.13
999995376606	COOKIE FFF	4.95
689048010471	FROSTER 600ML	7.47
1025	CK ICE CUP	5.34
028200004222	LA MARLBORO SPEC BLN	5.83
041594888162	20OZ CIR K FROSTER FOAM	1.69
194283301364	CIRCLE K 1 LITER	2.99
33	LOTTO ONLINE/EACH	5.00
999991218962	REG HOT CUP 12OZ	3.87
049000007640	SPRT 20Z	2.49
012000001291	PEPSI 20Z BT	2.69
028200003638	MARL RED 100s BX PAC	9.13
070847012474	MONSTER ENRG ZERO UL	3.29
028200009531	MARLBORO BLK 100	9.16
999995311331	TB POLAR POP XXL 52Z	16.98
000000000550	 LOTTO ONLINE      	4.00
194283301326	CK Purified Water 16	1.35
028200009524	MARL SPC SEL BLK KG BX	16.94
025900207465	SS CIGRLO REG 2PK	8.45
028200004239	MARL SPC SEL GLD 100 BX	106.80
786162338006	SMART WATER 33 8 OZ	2.99
043300109264	LUCKY STRIKE RED 100	3.99
689048010464	FROSTER 350ML	7.56
018200250019	BUD LT 24Z	2.99
049000000450	DT COKE 20OZ	2.69
052000135176	Gatorade Cool Blue 2	3.42
999991140119	DP DONUT W OUT HOLE TB	4.59
070137100188	BLK  MILD CIGAR 1 CT	1.09
028200004772	MARL SLVR KG BX	22.26
028200005687	MARL SB BOX 100	9.21
